user_id,item_id,type,color,material,size,season,style,favorite,special_property
2,35,T-shirt,Beige,Wool,L,Spring/Autumn,Sporty,0,Insulated
2,36,Skirt,Beige,Polyester,XS,All-year,Evening,0,Waterproof
2,37,Jacket,Beige,Jeans,S,All-year,Sporty,0,Waterproof
2,38,Trousers,Red,Linen,XS,Winter,Casual,0,Quick-drying
2,39,Blazer,Green,Wool,XS,Summer,Sporty,0,None
2,40,T-shirt,Red,Jeans,XS,Spring/Autumn,Evening,0,None
2,41,Sweatshirt,Gray,Linen,XXL,All-year,Evening,0,Windproof
2,42,Trousers,Green,Polyester,XXL,Winter,Formal,0,None
2,43,Trousers,Red,Cotton,L,Summer,Formal,0,Quick-drying
3,44,T-shirt,White,Cotton,L,All-year,Sporty,0,Breathable
3,45,Blazer,Blue,Jeans,M,All-year,Formal,0,Insulated
3,46,Sweatshirt,Beige,Cotton,XL,Spring/Autumn,Casual,0,Quick-drying
3,47,T-shirt,White,Cotton,L,Spring/Autumn,Formal,1,Anti-chafing
3,48,T-shirt,Red,Cotton,XL,Spring/Autumn,Casual,0,Anti-chafing
3,49,Coat,Blue,Linen,XS,Spring/Autumn,Sporty,0,None
3,50,Coat,White,Wool,S,Summer,Formal,1,Waterproof
3,51,Coat,Gray,Polyester,XXL,All-year,Formal,0,Waterproof
3,52,Jacket,Black,Cotton,XS,Summer,Sporty,0,Non-restrictive
3,53,Coat,Black,Polyester,M,Winter,Casual,0,Quick-drying
3,54,Trousers,Beige,Cotton,L,Summer,Evening,0,None
3,55,Trousers,Gray,Linen,M,All-year,Sporty,0,Waterproof
3,56,Shorts,Beige,Jeans,M,Summer,Formal,0,Anti-chafing
3,57,Trousers,Black,Polyester,XXL,Summer,Evening,0,Non-restrictive
3,58,Trousers,Blue,Linen,XL,Summer,Evening,0,Quick-drying
3,59,Jacket,Red,Jeans,XL,Spring/Autumn,Evening,0,Windproof
3,60,Jacket,Red,Leather,S,Spring/Autumn,Formal,0,Insulated
3,61,Skirt,Beige,Wool,L,Winter,Sporty,0,Waterproof
3,62,Blazer,Gray,Cotton,L,Summer,Casual,0,Insulated
4,63,Shirt,Gray,Jeans,XS,Spring/Autumn,Casual,0,None
4,64,Blazer,Beige,Leather,XXL,Summer,Sporty,0,Waterproof
4,65,T-shirt,Green,Jeans,XS,Summer,Formal,0,Non-restrictive
4,66,Sweater,Gray,Jeans,XXL,Spring/Autumn,Casual,0,Waterproof
4,67,Shirt,Green,Linen,XS,Winter,Formal,0,Waterproof
4,68,Jacket,Gray,Leather,L,Winter,Evening,0,Waterproof
4,69,Coat,Black,Cotton,XL,Summer,Evening,0,None
4,70,Coat,Black,Cotton,L,Spring/Autumn,Evening,1,None
4,71,Jacket,Black,Wool,L,Summer,Casual,1,Windproof
4,72,Coat,Red,Wool,XS,Summer,Evening,1,Quick-drying
4,73,Skirt,Green,Linen,XXL,Winter,Casual,0,Windproof
4,74,Shorts,White,Polyester,XL,Winter,Formal,0,Waterproof
4,75,Shorts,White,Linen,S,Summer,Formal,0,Anti-chafing
4,76,Skirt,Green,Leather,XS,Spring/Autumn,Formal,0,None
4,77,Shorts,White,Wool,L,Winter,Casual,0,None
4,78,Blazer,Red,Cotton,XL,All-year,Casual,0,Breathable
4,79,Sweater,White,Jeans,L,Spring/Autumn,Casual,0,Windproof
4,80,T-shirt,White,Linen,L,Summer,Casual,1,Insulated
4,81,Jacket,Red,Jeans,L,All-year,Formal,0,Anti-chafing
4,82,Blazer,Blue,Linen,XS,Spring/Autumn,Sporty,0,Anti-chafing
4,83,Jacket,White,Leather,XL,Winter,Formal,0,Non-restrictive
5,84,Shirt,Green,Wool,XL,All-year,Sporty,0,Quick-drying
5,85,Sweater,Black,Polyester,L,Summer,Casual,1,Breathable
5,86,Blazer,Black,Cotton,S,All-year,Formal,0,Anti-chafing
5,87,Blazer,Gray,Wool,XL,Summer,Formal,1,Non-restrictive
5,88,Sweater,Green,Linen,L,Winter,Evening,0,Anti-chafing
5,89,Jacket,Gray,Wool,S,Winter,Sporty,0,Windproof
5,90,Coat,Green,Polyester,L,Winter,Formal,0,None
5,91,Coat,Beige,Cotton,XS,All-year,Casual,0,Insulated
5,92,Coat,Red,Cotton,XS,Spring/Autumn,Casual,0,Breathable
5,93,Jacket,Red,Leather,XL,Summer,Sporty,1,Breathable
5,94,Skirt,Blue,Linen,XL,Spring/Autumn,Sporty,0,Insulated
5,95,Trousers,Beige,Cotton,XS,Winter,Sporty,0,Anti-chafing
5,96,Trousers,Gray,Wool,XS,All-year,Evening,1,None
5,97,Trousers,Red,Linen,XL,Spring/Autumn,Formal,0,Waterproof
5,98,Trousers,Red,Polyester,L,Spring/Autumn,Casual,1,None
5,99,Coat,Beige,Cotton,XS,Summer,Casual,1,Quick-drying
5,100,T-shirt,Green,Jeans,S,All-year,Evening,0,Insulated
5,101,Shirt,Black,Jeans,S,All-year,Casual,0,None
5,102,Sweater,Gray,Cotton,S,Spring/Autumn,Sporty,0,Anti-chafing
5,103,Shorts,Beige,Cotton,XXL,All-year,Sporty,0,Insulated
5,104,Shirt,White,Wool,XS,Summer,Evening,0,Quick-drying
5,105,Sweater,Green,Leather,XXL,All-year,Casual,0,Anti-chafing
5,106,Blazer,Black,Polyester,M,Summer,Casual,0,Breathable
5,107,Sweater,Blue,Leather,XL,Spring/Autumn,Formal,1,None
5,108,Shirt,Red,Polyester,S,Winter,Formal,0,Windproof
6,109,Shirt,Red,Cotton,XXL,Spring/Autumn,Casual,0,Windproof
6,110,Sweater,White,Leather,XL,Winter,Formal,1,Non-restrictive
6,111,Sweatshirt,Black,Jeans,S,Winter,Formal,0,Windproof
6,112,T-shirt,Beige,Polyester,L,Summer,Formal,0,Non-restrictive
6,113,Sweatshirt,Gray,Polyester,M,Summer,Casual,0,Waterproof
6,114,Jacket,White,Polyester,XS,Spring/Autumn,Evening,0,Waterproof
6,115,Jacket,Green,Polyester,XL,Winter,Sporty,0,Windproof
6,116,Coat,Beige,Cotton,M,Winter,Evening,0,None
6,117,Jacket,White,Wool,M,All-year,Casual,1,Anti-chafing
6,118,Jacket,Blue,Wool,XL,Summer,Formal,0,Anti-chafing
6,119,Trousers,Green,Jeans,XS,Summer,Casual,0,Breathable
6,120,Trousers,White,Jeans,S,Summer,Sporty,0,Insulated
6,121,Shorts,White,Jeans,XXL,All-year,Sporty,0,Insulated
6,122,Trousers,Red,Cotton,XS,All-year,Casual,1,Non-restrictive
6,123,Shorts,Gray,Jeans,S,Spring/Autumn,Sporty,0,Waterproof
6,124,Dress,Blue,Wool,XXL,All-year,Sporty,0,Waterproof
6,125,Shorts,Gray,Wool,M,All-year,Evening,0,Anti-chafing
6,126,Shorts,Beige,Cotton,XS,All-year,Formal,0,Quick-drying
6,127,Trousers,White,Leather,L,Summer,Evening,0,Insulated
6,128,Shirt,Beige,Linen,XXL,Winter,Sporty,0,Insulated
6,129,T-shirt,Black,Cotton,XL,Winter,Evening,0,Waterproof
6,130,Dress,Blue,Leather,XXL,Summer,Casual,0,Breathable
6,131,Blazer,Gray,Jeans,L,Winter,Sporty,0,Breathable
6,132,Skirt,Beige,Cotton,M,All-year,Sporty,0,Quick-drying
7,133,Shirt,Red,Linen,M,Spring/Autumn,Sporty,1,Insulated
7,134,T-shirt,Gray,Cotton,S,All-year,Sporty,0,Windproof
7,135,Blazer,Red,Leather,XXL,Winter,Formal,0,Quick-drying
7,136,Sweater,Red,Cotton,L,All-year,Casual,0,None
7,137,Blazer,Gray,Wool,L,Summer,Sporty,0,Breathable
7,138,Jacket,Black,Leather,S,Spring/Autumn,Formal,0,Waterproof
7,139,Jacket,White,Leather,XS,Summer,Casual,0,None
7,140,Jacket,Beige,Wool,XXL,All-year,Casual,1,Quick-drying
7,141,Jacket,Black,Jeans,XL,Spring/Autumn,Sporty,1,Quick-drying
7,142,Coat,Blue,Cotton,XXL,Spring/Autumn,Evening,0,Windproof
7,143,Skirt,Green,Jeans,L,Winter,Sporty,0,Anti-chafing
7,144,Shorts,Blue,Jeans,S,Winter,Evening,0,Waterproof
7,145,Skirt,Black,Jeans,M,Summer,Formal,0,Non-restrictive
7,146,Shorts,White,Cotton,XS,Summer,Sporty,0,Breathable
7,147,Skirt,Blue,Wool,XXL,Winter,Sporty,0,None
7,148,Sweatshirt,Beige,Leather,XS,Spring/Autumn,Formal,1,Quick-drying
7,149,Coat,White,Cotton,XL,Summer,Sporty,0,Breathable
7,150,Sweatshirt,Gray,Polyester,S,Summer,Sporty,0,Breathable
7,151,Coat,Green,Linen,XL,Spring/Autumn,Evening,0,Anti-chafing
7,152,Skirt,Green,Leather,L,Spring/Autumn,Casual,0,Non-restrictive
7,153,T-shirt,Blue,Linen,L,Winter,Sporty,0,Quick-drying
7,154,Dress,Gray,Polyester,XXL,Winter,Evening,0,Waterproof
7,155,Dress,Red,Polyester,XL,Spring/Autumn,Formal,0,Insulated
7,156,Skirt,Red,Wool,L,Spring/Autumn,Evening,1,Anti-chafing
8,157,Blazer,Beige,Polyester,XS,Spring/Autumn,Sporty,0,Breathable
8,158,T-shirt,Green,Jeans,XS,Winter,Sporty,0,Breathable
8,159,Blazer,Green,Polyester,XXL,Spring/Autumn,Formal,1,Insulated
8,160,T-shirt,Beige,Leather,XS,Summer,Casual,0,Insulated
8,161,Blazer,Black,Cotton,M,All-year,Evening,0,Windproof
8,162,Jacket,Black,Polyester,M,Winter,Sporty,0,Windproof
8,163,Coat,Red,Wool,M,Winter,Evening,0,Quick-drying
8,164,Jacket,Green,Cotton,XS,Summer,Sporty,0,Waterproof
8,165,Jacket,Black,Leather,XS,All-year,Casual,1,Insulated
8,166,Jacket,Gray,Jeans,L,All-year,Casual,0,Non-restrictive
8,167,Skirt,Green,Jeans,M,All-year,Evening,1,None
8,168,Trousers,Green,Cotton,XL,Summer,Formal,1,Windproof
8,169,Trousers,White,Jeans,M,All-year,Formal,0,Quick-drying
8,170,Skirt,Black,Jeans,XXL,All-year,Sporty,0,None
8,171,Skirt,Beige,Wool,S,Winter,Sporty,0,Quick-drying
9,172,Sweatshirt,Black,Leather,XS,Summer,Sporty,0,Non-restrictive
9,173,T-shirt,Beige,Leather,XXL,Summer,Sporty,0,Windproof
9,174,Sweater,Red,Polyester,M,Spring/Autumn,Evening,0,None
9,175,T-shirt,Red,Linen,XL,Winter,Casual,0,Non-restrictive
9,176,Shirt,Beige,Polyester,XS,All-year,Casual,0,Anti-chafing
9,177,Coat,Red,Leather,L,Winter,Formal,1,Anti-chafing
9,178,Jacket,Blue,Polyester,S,All-year,Sporty,0,Quick-drying
9,179,Coat,Green,Jeans,XXL,Summer,Formal,1,Windproof
9,180,Jacket,Black,Jeans,L,Spring/Autumn,Casual,1,None
9,181,Coat,Gray,Cotton,S,All-year,Casual,0,None
9,182,Trousers,Green,Cotton,XS,Winter,Formal,1,Quick-drying
9,183,Trousers,Black,Leather,XL,Winter,Sporty,0,Breathable
9,184,Trousers,Green,Polyester,L,Summer,Formal,0,Anti-chafing
9,185,Skirt,Gray,Polyester,L,All-year,Casual,0,Anti-chafing
9,186,Shorts,White,Jeans,M,Spring/Autumn,Formal,0,Insulated
9,187,Jacket,Black,Leather,XS,Winter,Casual,0,Waterproof
9,188,Shirt,Red,Jeans,M,Summer,Sporty,0,Windproof
9,189,Shorts,Green,Leather,M,Spring/Autumn,Sporty,0,Insulated
9,190,Dress,Beige,Wool,XXL,Winter,Sporty,0,Breathable
10,191,Blazer,White,Polyester,L,All-year,Evening,0,Quick-drying
10,192,T-shirt,White,Jeans,M,Summer,Sporty,0,Waterproof
10,193,Shirt,Green,Cotton,XS,Spring/Autumn,Casual,0,Anti-chafing
10,194,T-shirt,Black,Cotton,M,All-year,Formal,0,Quick-drying
10,195,T-shirt,Gray,Jeans,S,Spring/Autumn,Sporty,0,Windproof
10,196,Coat,White,Leather,XS,Winter,Casual,0,Non-restrictive
10,197,Jacket,Gray,Wool,XL,Summer,Sporty,0,None
10,198,Jacket,White,Polyester,XS,Spring/Autumn,Sporty,0,Insulated
10,199,Coat,Black,Polyester,XS,All-year,Formal,0,Waterproof
10,200,Coat,Gray,Leather,XS,All-year,Evening,0,Windproof
10,201,Shorts,Green,Polyester,XXL,Spring/Autumn,Sporty,0,Windproof
10,202,Trousers,Beige,Cotton,XXL,All-year,Evening,0,Quick-drying
10,203,Skirt,Black,Wool,XL,All-year,Evening,0,Non-restrictive
10,204,Shorts,Beige,Cotton,L,Summer,Formal,0,Waterproof
10,205,Skirt,Green,Polyester,L,Winter,Formal,0,Waterproof
10,206,Dress,Beige,Leather,XL,Winter,Evening,1,Windproof
11,207,Sweatshirt,Green,Jeans,XS,Summer,Formal,0,Insulated
11,208,Sweatshirt,Beige,Cotton,S,Winter,Casual,0,Quick-drying
11,209,Blazer,White,Jeans,XS,All-year,Casual,0,Breathable
11,210,Shirt,Red,Polyester,XXL,Summer,Casual,0,Anti-chafing
11,211,Sweater,Beige,Cotton,XS,Spring/Autumn,Evening,0,Waterproof
11,212,Coat,Green,Leather,M,Spring/Autumn,Formal,1,Non-restrictive
11,213,Jacket,Blue,Jeans,XL,Winter,Casual,0,Quick-drying
11,214,Coat,Red,Leather,XXL,Summer,Sporty,0,Waterproof
11,215,Coat,Black,Cotton,S,Summer,Casual,1,None
11,216,Jacket,Green,Leather,XXL,All-year,Sporty,1,Windproof
11,217,Trousers,White,Leather,M,Winter,Sporty,0,Breathable
11,218,Skirt,Blue,Wool,XXL,Summer,Evening,0,Insulated
11,219,Skirt,Red,Jeans,XL,Winter,Sporty,1,Windproof
11,220,Shorts,Red,Leather,XS,All-year,Casual,1,Waterproof
11,221,Skirt,Beige,Cotton,XL,All-year,Sporty,0,Quick-drying
11,222,Skirt,Blue,Leather,S,Winter,Formal,1,None
11,223,Blazer,Green,Cotton,S,Spring/Autumn,Casual,0,Anti-chafing
11,224,T-shirt,Black,Wool,S,Spring/Autumn,Sporty,1,Insulated
11,225,Coat,Blue,Linen,XS,All-year,Sporty,0,Anti-chafing
11,226,Dress,Green,Cotton,XL,Winter,Evening,0,Breathable
12,227,Sweatshirt,Beige,Leather,M,Summer,Formal,0,Non-restrictive
12,228,Shirt,Black,Wool,XL,Winter,Sporty,0,Quick-drying
12,229,Shirt,Gray,Leather,XL,Spring/Autumn,Sporty,0,Anti-chafing
12,230,T-shirt,White,Cotton,XS,Spring/Autumn,Sporty,0,None
12,231,Blazer,Blue,Jeans,M,Winter,Sporty,0,None
12,232,Jacket,Beige,Linen,L,All-year,Formal,0,Breathable
12,233,Jacket,Red,Linen,S,Spring/Autumn,Sporty,0,Quick-drying
12,234,Jacket,White,Polyester,XXL,Summer,Formal,0,Windproof
12,235,Jacket,Black,Jeans,XL,Spring/Autumn,Evening,0,Quick-drying
12,236,Coat,Red,Leather,M,Summer,Formal,0,None
12,237,Shorts,Blue,Polyester,S,Winter,Formal,0,Quick-drying
12,238,Skirt,Blue,Leather,XS,All-year,Sporty,0,Anti-chafing
12,239,Shorts,Red,Polyester,XXL,Spring/Autumn,Formal,0,Windproof
12,240,Skirt,Gray,Linen,L,Summer,Casual,1,Anti-chafing
12,241,Shorts,Red,Jeans,M,Summer,Casual,1,Insulated
12,242,Coat,Beige,Polyester,XL,All-year,Evening,1,None
12,243,Shirt,Beige,Linen,M,Spring/Autumn,Evening,0,Insulated
12,244,Blazer,Beige,Wool,XXL,Winter,Evening,0,Anti-chafing
12,245,Blazer,Red,Polyester,M,Spring/Autumn,Formal,0,Breathable
12,246,Jacket,White,Jeans,L,Spring/Autumn,Evening,0,None
12,247,Trousers,Red,Jeans,XXL,Summer,Casual,0,None
12,248,Dress,Green,Cotton,XL,Winter,Formal,0,Breathable
12,249,Coat,Blue,Leather,XS,Summer,Evening,0,None
12,250,Dress,Gray,Wool,XS,Summer,Evening,1,None
13,251,Sweatshirt,Red,Cotton,S,Spring/Autumn,Evening,1,Insulated
13,252,Shirt,White,Cotton,XS,Summer,Formal,0,Quick-drying
13,253,Shirt,Gray,Polyester,XXL,All-year,Formal,0,Waterproof
13,254,Shirt,Black,Linen,XS,Spring/Autumn,Sporty,0,Windproof
13,255,Sweater,Gray,Cotton,XS,Winter,Evening,1,Waterproof
13,256,Jacket,Gray,Linen,XXL,All-year,Sporty,0,Windproof
13,257,Jacket,Red,Jeans,S,Winter,Formal,0,Non-restrictive
13,258,Coat,Red,Polyester,XXL,All-year,Formal,0,Non-restrictive
13,259,Jacket,Green,Cotton,XL,All-year,Formal,0,Breathable
13,260,Jacket,Green,Leather,XL,All-year,Evening,0,Waterproof
13,261,Trousers,Black,Wool,XXL,Summer,Evening,0,Windproof
13,262,Shorts,Red,Polyester,M,All-year,Casual,0,Non-restrictive
13,263,Shorts,White,Linen,XS,Winter,Casual,0,Anti-chafing
13,264,Skirt,Red,Linen,L,Winter,Evening,0,Waterproof
13,265,Skirt,Blue,Cotton,L,Winter,Casual,0,Quick-drying
13,266,Shirt,Red,Jeans,S,All-year,Sporty,0,Anti-chafing
14,267,Sweatshirt,Blue,Leather,S,Spring/Autumn,Casual,0,Windproof
14,268,Shirt,Red,Jeans,S,Spring/Autumn,Formal,1,Non-restrictive
14,269,Blazer,Green,Jeans,XL,Summer,Formal,0,Anti-chafing
14,270,Sweater,Red,Polyester,XXL,Summer,Sporty,0,Quick-drying
14,271,Shirt,Blue,Leather,XL,All-year,Casual,0,None
14,272,Jacket,Green,Wool,S,All-year,Formal,0,Waterproof
14,273,Coat,Black,Linen,XXL,Summer,Casual,0,None
14,274,Coat,Red,Cotton,XS,Spring/Autumn,Formal,0,Insulated
14,275,Coat,Green,Leather,L,Summer,Casual,1,Quick-drying
14,276,Jacket,Red,Jeans,L,All-year,Casual,0,Breathable
14,277,Trousers,White,Leather,L,Winter,Casual,0,Windproof
14,278,Trousers,Green,Leather,M,Summer,Casual,0,Breathable
14,279,Trousers,Red,Leather,S,Spring/Autumn,Sporty,0,Waterproof
14,280,Skirt,Black,Leather,XS,All-year,Sporty,0,Windproof
14,281,Trousers,Beige,Linen,XXL,Spring/Autumn,Sporty,0,Anti-chafing
14,282,Shirt,Black,Linen,S,Summer,Casual,0,Anti-chafing
14,283,Coat,Green,Jeans,S,Summer,Sporty,1,Windproof
14,284,Shorts,Gray,Polyester,S,Summer,Formal,1,None
15,285,Sweater,Red,Wool,XS,Winter,Evening,0,Windproof
15,286,Blazer,Green,Cotton,S,Winter,Evening,0,None
15,287,Sweater,White,Cotton,XS,Spring/Autumn,Casual,0,Anti-chafing
15,288,Sweater,Blue,Linen,S,Summer,Formal,0,Breathable
15,289,T-shirt,Gray,Polyester,S,Summer,Casual,0,Anti-chafing
15,290,Coat,White,Jeans,XXL,All-year,Casual,0,Insulated
15,291,Jacket,Black,Leather,M,Spring/Autumn,Casual,0,Insulated
15,292,Jacket,White,Wool,L,Winter,Formal,0,None
15,293,Jacket,Gray,Polyester,S,Winter,Casual,0,Waterproof
15,294,Jacket,Black,Jeans,L,Summer,Casual,0,Quick-drying
15,295,Skirt,Black,Leather,L,Spring/Autumn,Sporty,0,Non-restrictive
15,296,Trousers,Gray,Polyester,L,All-year,Sporty,0,Non-restrictive
15,297,Shorts,Beige,Leather,L,All-year,Casual,0,Windproof
15,298,Shorts,Red,Leather,XL,Winter,Sporty,0,Anti-chafing
15,299,Skirt,Red,Jeans,M,Summer,Sporty,0,None
15,300,Sweatshirt,Gray,Polyester,S,Summer,Casual,0,Insulated
15,301,Dress,Beige,Linen,S,All-year,Casual,0,Non-restrictive
15,302,Skirt,White,Polyester,XL,Winter,Evening,1,Quick-drying
15,303,Coat,Beige,Jeans,XS,Spring/Autumn,Evening,0,Non-restrictive
15,304,Dress,Green,Jeans,XXL,Summer,Formal,0,Waterproof
15,305,Trousers,Beige,Polyester,S,Summer,Casual,1,None
15,306,Sweater,Black,Wool,XL,Spring/Autumn,Formal,0,Quick-drying
15,307,Jacket,Black,Cotton,S,All-year,Evening,0,Non-restrictive
15,308,Shirt,Green,Cotton,M,Spring/Autumn,Formal,0,Anti-chafing
16,309,Sweater,Gray,Leather,M,Spring/Autumn,Sporty,0,Waterproof
16,310,Sweater,Gray,Leather,XL,Summer,Formal,0,None
16,311,T-shirt,Beige,Leather,S,All-year,Formal,0,Non-restrictive
16,312,Sweater,White,Wool,L,Winter,Sporty,0,Breathable
16,313,Shirt,Beige,Leather,XXL,Spring/Autumn,Evening,0,Quick-drying
16,314,Coat,White,Cotton,M,Winter,Casual,0,Anti-chafing
16,315,Coat,Red,Polyester,L,Summer,Evening,0,Anti-chafing
16,316,Jacket,Gray,Polyester,M,Winter,Evening,0,Windproof
16,317,Jacket,Gray,Polyester,L,Winter,Formal,0,Waterproof
16,318,Coat,Gray,Linen,XXL,Spring/Autumn,Formal,1,Anti-chafing
16,319,Skirt,Beige,Cotton,S,Winter,Formal,0,None
16,320,Skirt,Red,Linen,M,Spring/Autumn,Formal,0,Quick-drying
16,321,Shorts,Gray,Leather,L,Spring/Autumn,Evening,0,Insulated
16,322,Trousers,Green,Linen,XXL,Winter,Formal,0,None
16,323,Skirt,Green,Linen,XXL,Spring/Autumn,Formal,0,Quick-drying
17,324,Shirt,Green,Polyester,XS,Summer,Formal,1,Insulated
17,325,Sweater,Blue,Wool,L,Winter,Sporty,1,Waterproof
17,326,T-shirt,Gray,Wool,XXL,Spring/Autumn,Casual,0,Quick-drying
17,327,Sweater,Black,Jeans,S,Summer,Sporty,0,Waterproof
17,328,T-shirt,Beige,Linen,XXL,Summer,Sporty,0,Waterproof
17,329,Coat,Black,Wool,S,Winter,Evening,0,Waterproof
17,330,Coat,Black,Cotton,XL,Winter,Casual,1,Breathable
17,331,Coat,Gray,Jeans,XXL,Summer,Evening,0,Insulated
17,332,Jacket,White,Leather,XL,Winter,Evening,0,Quick-drying
17,333,Coat,Beige,Linen,XL,Spring/Autumn,Evening,1,None
17,334,Skirt,Beige,Jeans,L,Winter,Casual,0,Breathable
17,335,Skirt,Blue,Jeans,S,Spring/Autumn,Sporty,0,Windproof
17,336,Skirt,Blue,Polyester,S,Summer,Formal,0,Waterproof
17,337,Skirt,Beige,Cotton,M,Summer,Sporty,0,Quick-drying
17,338,Trousers,Gray,Wool,L,Summer,Evening,0,None
18,339,Blazer,Beige,Linen,L,Summer,Evening,0,Breathable
18,340,Shirt,Beige,Leather,L,All-year,Formal,0,Windproof
18,341,T-shirt,Red,Jeans,XXL,All-year,Casual,0,Anti-chafing
18,342,Shirt,Gray,Wool,XL,Winter,Formal,0,Waterproof
18,343,Shirt,Beige,Leather,XS,Summer,Casual,1,Anti-chafing
18,344,Coat,Green,Polyester,XL,Summer,Evening,0,Windproof
18,345,Coat,Red,Wool,XL,Spring/Autumn,Evening,0,Waterproof
18,346,Jacket,Red,Polyester,L,Spring/Autumn,Evening,0,Windproof
18,347,Coat,Green,Linen,XL,Winter,Formal,0,Anti-chafing
18,348,Coat,White,Cotton,XS,Summer,Casual,1,None
18,349,Skirt,White,Polyester,S,Winter,Evening,1,Anti-chafing
18,350,Shorts,Beige,Polyester,M,Winter,Evening,0,Insulated
18,351,Shorts,Green,Wool,XL,Spring/Autumn,Evening,0,Anti-chafing
18,352,Skirt,White,Wool,XS,Summer,Sporty,0,None
18,353,Skirt,Green,Linen,XL,Spring/Autumn,Formal,0,Quick-drying
18,354,Sweatshirt,Beige,Wool,M,Spring/Autumn,Sporty,0,Anti-chafing
18,355,Blazer,Gray,Jeans,S,Winter,Sporty,0,Quick-drying
18,356,Sweater,Beige,Cotton,XS,Winter,Sporty,0,Insulated
18,357,Sweatshirt,Gray,Linen,XXL,Summer,Casual,1,Non-restrictive
18,358,Shirt,Black,Leather,L,Spring/Autumn,Sporty,1,Breathable
18,359,Blazer,Beige,Linen,S,All-year,Formal,0,None
18,360,Shirt,Beige,Cotton,XS,Spring/Autumn,Sporty,0,Waterproof
18,361,Trousers,Black,Jeans,L,Winter,Evening,0,None
18,362,T-shirt,Gray,Cotton,XL,All-year,Formal,1,Non-restrictive
18,363,Jacket,White,Linen,XS,All-year,Formal,0,Breathable
19,364,Blazer,Gray,Jeans,XXL,All-year,Sporty,0,Windproof
19,365,T-shirt,White,Jeans,L,Summer,Casual,0,Anti-chafing
19,366,Blazer,Beige,Linen,M,Winter,Sporty,0,Non-restrictive
19,367,Sweatshirt,Green,Jeans,M,Summer,Casual,0,Windproof
19,368,T-shirt,Beige,Leather,XXL,All-year,Evening,0,None
19,369,Coat,Beige,Polyester,S,Spring/Autumn,Evening,0,Anti-chafing
19,370,Coat,White,Linen,M,Spring/Autumn,Evening,1,Windproof
19,371,Coat,Black,Leather,XXL,All-year,Sporty,0,Insulated
19,372,Jacket,Green,Cotton,L,Spring/Autumn,Formal,1,Waterproof
19,373,Jacket,Red,Cotton,XXL,Winter,Casual,1,Insulated
19,374,Shorts,Blue,Jeans,M,Summer,Formal,0,Anti-chafing
19,375,Trousers,Gray,Wool,S,Summer,Formal,0,None
19,376,Shorts,Green,Polyester,XXL,Winter,Evening,0,Anti-chafing
19,377,Skirt,Beige,Linen,XL,Winter,Sporty,0,None
19,378,Trousers,Beige,Linen,L,Spring/Autumn,Formal,0,Breathable
